Name;Version;Build Number;Public Release
Windows 10; Version 1909;10;18975;11/5/2019
Windows 10; Version 1903;10;18362;5/21/2019
Windows Server 2008; Service Pack 2; Rollup KB4489887;6;6003;3/19/2019
Windows 10; Version 1809;10;17763;10/2/2018
Windows Server 2019; Version 1809;10;17763;10/2/2018
Windows 10; Version 1803;10;17134;4/30/2018
Windows 10; Version 1709;10;16299;10/17/2017
Windows Server 2016; Version 1709;10;16299;10/17/2017
Windows 10; Version 1703;10;15063;4/5/2017
Windows 10; Version 1607;10;14393;8/2/2016
Windows Server 2016; Version 1607;10;14393;8/2/2016
Windows 10; Version 1511;10;10586;11/10/2015
Windows 10; Version 1507;10;10240;7/29/2015
Windows Server 2012 R2;6.3;9600;10/18/2013
Windows 8.1;6.3;9600;8/27/2013
Windows 8;6.2;9200;10/26/2012
Windows Server 2012;6.2;9200;9/4/2012
Windows Home Server 2011;6.1;8400;4/6/2011
Windows 7; Service Pack 1;6.1;7601;2/22/2011
Windows Server 2008 R2; Service Pack 1;6.1;7601;2/22/2011
Windows 7;6.1;7600;10/22/2009
Windows Server 2008 R2;6.1;7600;10/22/2009
Windows Vista; Service Pack 2;6;6002;5/26/2009
Windows Server 2008; Service Pack 2;6;6002;5/26/2009
Windows XP; Service Pack 3;5.1;2600;4/21/2008
Windows Server 2008;6;6001;2/27/2008
Windows Vista; Service Pack 1;6;6001;2/4/2008
Windows Home Server;5.2;4500;11/4/2007
Windows Server 2003; Service Pack 2;5.2;3790;3/13/2007
Windows Vista;6;6000;1/30/2007
Windows Server 2003 R2;5.2;3790;12/6/2005
Windows Server 2003; Service Pack 1;5.2;3790.118;3/30/2005
Windows XP; Service Pack 2;5.1;2600.218;8/25/2004
Windows Server 2003;5.2;3790;4/24/2003
Windows XP; Service Pack 1;5.1;2600.1105-1106;9/9/2002
Windows XP;5.1;2600;10/25/2001
Windows Me;4.9;3000;9/14/2000
Windows 2000;5;2195;2/17/2000
Windows 98 Second Edition (SE);4.1;2222;5/5/1999
Windows 98;4.1;1998;5/15/1998
Windows 95 OEM Service Release 2.5;4;950 C;11/26/1997
Windows 95 OEM Service Release 2.1;4;950 B;8/27/1997
Windows 95 OEM Service Release 2;4;950 B;8/24/1996
Windows NT 4.0;4;1381;8/24/1996
Windows 95 OEM Service Release 1;4;950 A;2/14/1996
Windows 95;4;950;8/24/1995
Windows NT 3.51;3.51;1057;5/30/1995
Windows NT 3.1; Service Pack 3;3.1;528;11/1/1994
Windows NT 3.5;3.5;807;9/21/1994
Windows NT 3.1;3.1;511;7/27/1993
Windows 3.1;3.1;;4/6/1992
Windows 3.0;3;;5/22/1990
Windows 2.1  (aka Windows/286 and /386);2.1;;05/27/1988
Windows 2.0;2;;12/09/1987
Windows 1.0;1;;11/20/1985
